    playing_number  ,start_date  ,end_date 
92,2017-05-20,
11,2012-04-19,
88,2021-01-29,2023-02-08
64,2020-04-01,2023-06-19
75,2013-04-21,2023-08-24
9,2019-11-27,
3,2012-11-26,
48,2009-10-11,2023-02-05
24,2017-01-25,
29,2011-09-24,
36,2021-07-19,2023-06-13
41,2020-11-10,2023-02-18
4,2008-06-11,
57,2015-02-15,
91,2012-06-11,
30,2015-03-27,2023-09-03
86,2020-06-28,
88,2016-11-03,2023-09-05
73,2022-08-04,
17,2011-04-16,
33,2010-05-01,
77,2008-07-22,2023-07-23
38,2009-06-05,
83,2021-05-22,
29,2022-04-28,
15,2017-02-20,
69,2014-12-02,
72,2017-03-24,2022-12-14
34,2017-06-05,
87,2021-06-30,
49,2020-05-10,
74,2011-06-29,
38,2008-08-04,2023-04-02
65,2010-07-30,
67,2021-08-01,2023-07-09
64,2015-02-19,
30,2019-02-21,
91,2020-03-22,
19,2021-10-06,
16,2014-06-25,
23,2013-09-03,
43,2009-05-15,2023-09-05
48,2021-06-03,
64,2016-06-26,2023-07-09
18,2015-05-14,2023-07-26
11,2015-09-06,
12,2010-11-06,
94,2010-06-22,
76,2009-10-05,
59,2011-12-16,
20,2008-09-24,
91,2012-03-17,
3,2022-02-18,
51,2011-07-20,
71,2014-01-09,
47,2011-05-22,
85,2009-03-12,
78,2021-11-03,
99,2020-09-07,
18,2019-03-04,
3,2019-06-12,
23,2015-08-27,2023-11-09
53,2009-08-01,
80,2011-12-27,
40,2020-04-23,
11,2014-10-21,
69,2011-10-19,
14,2015-07-04,
36,2013-03-01,2023-06-14
41,2010-02-01,
97,2012-10-02,
10,2020-01-30,2023-06-24
14,2015-06-30,
91,2018-11-17,2023-08-07
95,2013-09-03,2023-09-14
6,2020-03-21,
66,2022-07-09,
61,2016-03-09,
23,2015-12-29,
46,2017-09-13,
90,2017-05-15,2023-11-20
60,2015-11-15,
45,2013-05-20,
80,2013-11-14,2023-01-07
18,2010-05-04,2022-12-18
43,2011-07-04,
47,2011-11-14,
99,2020-06-25,
75,2012-05-25,
33,2010-02-21,2023-03-31
75,2011-04-09,
75,2019-10-25,2023-11-05
15,2015-09-06,
2,2009-10-18,
31,2011-06-18,
12,2010-02-15,2023-06-09
40,2015-06-04,2023-05-22
63,2018-11-07,
36,2008-06-02,
6,2009-12-24,
61,2012-04-11,
61,2012-04-09,
96,2015-07-03,
3,2014-03-24,2022-12-24
65,2012-06-08,
18,2008-12-19,
30,2015-04-28,
3,2012-12-25,
8,2018-12-23,
20,2008-07-01,2023-12-15
27,2015-07-20,
32,2020-12-08,
4,2009-01-16,
45,2013-09-01,
8,2017-05-25,2023-09-18
77,2010-03-02,
96,2020-10-26,2023-07-18
18,2016-07-21,
82,2012-09-29,
92,2017-02-27,
34,2010-02-10,
66,2009-03-30,2023-05-26
11,2010-03-22,
65,2012-08-31,
9,2013-08-05,
53,2018-06-26,
40,2012-12-22,
41,2019-11-16,2023-01-04
69,2016-11-16,
67,2017-06-22,
61,2016-06-03,
96,2015-06-30,
48,2011-11-29,
55,2015-03-15,
2,2010-02-15,
41,2021-03-21,2023-09-14
49,2021-06-06,
9,2010-03-26,
15,2008-06-04,
89,2016-06-17,
80,2011-11-29,
4,2014-02-24,
53,2018-06-28,
53,2019-08-13,2023-04-08
61,2018-11-26,2023-07-31
68,2018-02-11,
16,2012-04-07,
67,2014-12-29,
58,2010-03-24,
96,2013-11-13,2023-01-02
82,2021-05-29,
49,2021-06-09,2023-01-14
49,2015-11-28,
10,2019-12-01,
55,2008-11-13,
96,2017-03-01,
33,2021-02-12,
90,2011-02-04,
81,2017-07-12,2023-10-17
66,2018-04-03,
28,2008-02-21,
78,2010-01-20,
50,2012-11-29,
90,2014-06-30,
28,2008-05-14,
81,2008-08-19,
54,2009-01-11,
73,2021-12-24,2023-10-27
93,2015-07-27,2023-04-22
9,2019-04-22,
74,2012-01-23,2023-03-12
27,2014-02-15,2022-12-19
5,2017-01-24,
76,2013-08-05,
13,2016-01-22,
79,2011-03-21,
51,2010-05-26,
1,2021-05-28,
63,2017-10-15,2022-12-31
46,2008-06-13,
65,2022-06-30,
86,2008-09-11,
11,2020-10-02,
35,2014-10-01,
47,2010-04-18,2023-08-20
87,2020-03-21,
26,2013-02-13,2023-12-09
74,2018-01-13,
35,2021-05-28,2023-09-01
45,2010-06-25,
93,2013-08-10,
43,2020-05-19,2023-01-13
30,2021-08-14,2023-10-19
86,2012-09-11,
10,2010-02-16,
40,2016-12-21,
94,2014-01-07,
2,2021-01-07,
61,2012-05-28,
58,2009-03-03,2023-08-09
11,2012-07-11,
91,2014-03-07,
77,2009-11-27,
31,2011-06-17,2023-05-03
32,2010-06-22,
27,2021-08-30,
77,2010-04-11,2023-01-12
96,2008-02-11,
82,2015-04-03,
62,2016-11-15,
66,2009-01-19,
51,2015-07-13,
36,2008-07-27,2023-12-20
15,2018-04-02,2023-05-01
16,2013-07-02,
7,2017-02-27,2023-01-07
78,2010-03-06,
53,2015-07-11,
20,2015-11-10,2023-04-12
18,2018-05-07,2023-01-06
27,2016-01-03,
21,2017-04-03,
21,2020-04-14,
8,2020-02-28,
43,2016-03-24,
48,2020-02-11,2023-10-10
44,2021-05-08,
53,2010-07-16,
20,2012-06-19,2023-09-05
35,2011-07-10,
70,2015-07-31,2023-05-15
42,2010-07-02,
68,2017-01-14,2023-06-07
63,2016-09-27,
40,2016-10-02,
84,2017-10-25,2023-12-30
56,2012-03-27,
41,2022-01-12,2023-05-02
39,2013-10-14,
99,2014-11-09,
20,2013-04-06,
9,2011-05-07,
72,2020-03-03,
36,2012-06-24,
84,2021-04-20,
97,2019-06-23,
59,2016-08-19,
76,2022-04-30,
50,2016-06-29,2023-05-31
2,2022-07-10,
3,2018-07-13,
17,2015-04-06,
48,2011-11-20,
56,2021-03-16,
72,2019-06-04,
17,2011-11-05,
53,2022-08-02,2023-06-26
95,2016-02-29,
35,2019-04-20,
82,2021-07-22,
54,2013-03-31,
9,2010-11-29,
71,2011-01-27,2023-08-19
87,2009-01-19,
37,2017-01-07,
44,2014-11-25,
13,2009-10-24,2023-05-22
50,2014-12-14,
77,2019-11-09,2023-01-09
34,2009-01-15,
94,2018-03-31,
78,2018-04-02,2023-06-05
95,2011-08-25,
69,2014-04-03,2023-09-21
40,2016-10-28,
86,2019-12-28,2023-04-07
13,2009-11-02,
71,2022-04-20,
33,2009-09-17,
58,2020-11-28,
82,2014-08-01,
72,2012-03-17,2023-01-29
75,2014-06-24,
62,2010-06-17,
85,2018-04-28,
33,2014-05-21,2023-06-20
68,2016-11-05,2023-11-29
28,2009-09-24,
37,2010-01-24,
31,2010-10-01,
28,2013-06-15,
85,2014-10-12,2022-12-28
10,2010-11-23,
1,2021-10-28,
57,2010-05-28,
28,2018-11-13,
3,2011-05-18,
19,2009-11-16,
56,2016-11-02,
29,2014-04-14,2023-01-31
29,2018-01-23,
83,2021-03-31,
52,2016-09-09,2023-05-29
70,2017-09-17,
89,2012-04-09,
5,2012-10-08,
86,2016-10-30,
93,2015-05-19,
40,2015-06-22,
88,2016-06-08,
78,2010-08-09,
57,2015-01-01,
14,2013-08-01,
6,2010-03-09,
77,2020-09-01,2023-05-22
58,2021-08-21,
46,2008-12-22,
28,2015-09-09,
44,2012-03-30,
43,2018-02-16,
1,2010-11-12,
51,2021-12-18,
56,2018-10-10,
10,2010-03-24,
1,2013-02-04,2023-10-23
85,2021-06-14,
12,2016-06-17,2023-04-23
72,2013-02-06,
93,2019-02-18,
91,2009-07-09,2023-01-02
10,2013-04-01,
94,2021-07-21,
35,2009-01-23,
85,2019-05-31,
53,2008-03-14,
51,2010-07-31,2023-12-19
4,2015-08-13,2023-10-31
50,2009-05-07,
36,2016-09-25,
75,2014-09-14,
71,2013-01-09,
43,2021-02-20,2022-12-16
15,2020-06-12,
77,2009-10-24,
37,2017-10-04,
28,2015-01-25,
8,2016-02-13,
96,2018-12-28,2023-06-07
84,2012-11-10,
21,2009-10-02,
81,2022-04-21,
72,2008-04-14,
15,2009-04-24,2023-01-26
13,2010-10-05,
91,2010-08-07,
93,2013-03-29,2023-07-26
43,2011-06-13,2023-04-10
8,2021-06-12,
71,2020-07-10,
78,2022-01-27,2023-04-09
21,2017-07-28,
57,2013-05-13,2023-08-31
61,2018-01-05,
89,2014-02-03,
99,2020-03-14,
5,2018-03-17,
75,2013-03-30,
93,2020-07-21,
22,2018-12-12,
9,2017-05-19,
94,2017-12-16,
96,2016-02-15,
90,2021-12-13,
46,2011-10-12,2023-04-01
80,2010-09-25,
87,2009-02-10,2022-12-12
98,2012-10-05,
14,2010-09-08,
67,2022-06-05,2023-04-07
57,2009-09-11,2023-05-21
57,2012-11-20,
88,2009-09-15,
71,2013-11-21,
20,2008-11-07,
76,2012-03-10,
69,2019-08-17,
1,2019-01-15,
35,2016-05-09,2023-05-19
50,2012-10-28,
77,2020-09-11,
88,2019-02-15,
10,2010-01-22,2022-12-29
56,2009-05-22,
30,2009-10-03,2023-10-09
70,2018-05-16,
35,2011-09-29,
14,2009-11-19,2023-08-19
6,2009-03-06,2023-12-06
9,2018-10-07,2023-05-20
98,2014-05-25,2023-05-30
96,2020-06-23,2022-12-25
3,2017-07-06,
29,2022-01-27,
96,2017-08-19,2022-12-23
3,2013-10-17,2023-05-20
77,2009-03-11,
30,2016-03-04,
87,2022-03-18,2023-12-17
96,2009-01-26,
93,2019-08-25,
60,2017-12-04,2023-06-04
80,2021-04-01,
99,2011-10-31,
72,2013-04-27,2023-02-24
37,2017-07-22,
5,2013-03-28,
42,2021-03-27,2023-05-05
3,2022-04-14,2023-11-01
9,2017-12-07,
5,2011-03-03,
84,2010-01-08,2023-05-10
82,2019-09-26,
17,2015-02-19,
44,2021-06-16,
79,2020-01-23,
64,2012-08-18,
96,2010-01-16,
1,2011-06-10,
65,2020-10-01,
89,2014-12-15,2023-12-06
45,2021-12-17,
96,2016-08-23,
76,2013-09-06,
88,2022-06-03,2023-10-19
74,2015-06-10,
61,2019-03-03,
44,2012-12-01,
73,2017-01-30,
60,2019-05-29,
4,2018-04-08,
28,2010-03-23,
84,2020-02-16,
6,2010-05-01,
21,2009-03-12,
94,2016-12-24,
81,2010-02-05,
28,2013-06-27,
38,2021-10-22,2023-03-20
37,2018-06-21,2023-01-04
40,2011-07-26,2023-03-13
29,2011-02-11,
80,2018-06-22,
31,2010-06-06,2023-10-19
71,2010-12-14,
31,2019-04-01,2023-10-06
21,2016-04-17,
21,2022-03-18,
13,2021-06-30,2023-02-19
73,2018-04-01,
16,2013-12-28,
29,2008-10-05,
91,2015-01-13,
81,2018-04-03,
1,2022-01-21,
91,2014-09-21,
87,2008-12-29,
66,2010-12-04,2023-03-13
43,2018-03-15,
92,2013-11-27,
1,2020-10-29,
17,2016-07-30,
51,2019-10-10,
25,2013-02-02,
56,2008-07-08,
39,2021-08-24,
50,2021-08-08,
7,2012-10-04,
86,2012-06-10,
11,2021-05-13,
9,2018-01-29,
51,2013-12-22,
56,2019-04-23,
68,2018-04-06,
47,2021-11-21,
46,2015-07-23,
27,2013-10-16,
36,2010-10-27,
15,2014-12-06,
56,2019-12-11,2023-10-17
31,2008-10-02,2023-01-05
14,2013-10-20,
97,2014-01-25,
40,2011-01-22,
36,2013-01-22,2023-05-30
58,2021-07-31,
48,2020-05-05,
93,2021-12-18,
21,2009-07-17,
17,2008-08-14,
75,2021-01-30,
73,2010-12-18,
29,2018-12-28,
46,2022-06-16,
90,2018-07-12,
42,2009-07-21,2023-07-06
70,2010-11-15,2023-02-06
9,2015-06-16,
12,2018-11-22,2023-07-16
46,2022-07-26,
7,2016-07-28,
11,2021-02-21,
5,2016-05-22,
30,2018-05-10,
67,2020-05-06,
63,2008-06-16,
20,2011-11-28,2023-10-13
58,2012-10-28,
68,2020-11-26,
7,2022-03-12,2023-09-16
94,2017-01-10,
5,2020-01-11,
85,2016-11-29,2023-06-09
4,2013-06-10,
67,2012-02-10,
85,2019-04-06,
92,2018-01-17,
14,2017-02-11,2023-09-07
25,2021-05-16,
35,2020-03-30,
97,2019-04-23,
97,2017-03-10,
53,2018-06-15,2023-08-16
51,2011-12-02,
89,2019-09-05,
41,2013-03-31,
11,2014-08-16,
36,2011-11-30,
77,2012-02-02,
60,2019-11-02,
61,2009-01-06,
76,2020-03-06,
94,2013-11-28,2022-12-19
17,2020-04-12,
61,2012-01-24,
19,2009-10-25,2023-02-13
73,2014-10-29,
42,2014-08-27,2023-02-10
90,2008-03-02,
9,2021-03-31,
82,2017-06-03,
32,2011-04-05,2023-02-11
8,2008-05-02,2022-12-20
89,2017-11-17,2023-06-16
75,2020-10-02,
46,2011-12-04,2023-12-23
72,2013-12-27,
87,2014-05-08,
45,2010-10-14,
23,2013-07-24,2023-12-14
28,2014-04-08,
55,2014-07-18,2023-08-30
2,2019-08-08,2023-11-29
66,2008-10-12,
58,2021-12-05,
72,2015-06-14,
6,2010-06-05,
40,2012-04-11,
12,2009-11-14,2023-06-11
72,2021-02-13,
60,2020-12-25,
5,2017-03-08,
28,2011-02-18,
85,2015-02-24,
76,2020-04-13,
25,2013-03-29,2023-02-16
21,2020-09-04,
98,2010-12-20,
92,2017-01-27,
37,2019-01-21,2022-12-27
69,2019-08-29,
33,2010-05-20,
12,2010-04-05,
70,2014-11-02,
71,2008-02-28,
74,2012-06-19,
5,2018-08-10,
24,2008-06-02,
7,2009-04-30,
67,2013-01-03,
87,2020-12-07,2023-10-04
39,2020-01-27,
54,2015-07-30,
71,2022-07-09,
15,2017-11-03,
93,2018-08-23,
68,2009-07-29,
87,2008-02-15,
78,2011-04-27,
49,2015-06-18,
17,2016-12-23,2023-10-02
76,2016-07-11,
85,2008-06-04,
77,2021-01-25,
71,2011-03-07,
8,2008-04-07,
37,2008-01-11,
98,2020-10-31,
54,2010-07-26,
20,2008-01-17,
81,2022-04-23,
23,2016-04-24,
61,2008-02-21,
47,2013-01-21,
57,2009-10-09,
30,2019-07-23,2023-08-25
96,2021-10-25,
43,2019-06-09,
45,2011-05-31,
44,2013-10-19,2023-06-05
33,2011-04-19,2023-02-05
15,2019-08-13,
1,2008-09-01,2022-12-24
89,2008-03-10,
84,2020-10-22,2023-08-28
7,2015-03-08,
72,2015-02-27,
43,2019-03-16,
79,2012-04-24,
73,2020-02-25,2023-07-05
78,2020-01-16,
70,2012-10-02,
80,2012-03-03,
36,2013-01-08,2023-09-14
41,2019-10-14,
74,2015-11-16,
54,2020-01-15,
73,2009-04-07,
47,2021-09-23,
85,2017-10-07,2023-07-02
40,2018-01-02,
16,2014-06-30,2023-04-22
7,2021-01-16,2023-10-15
36,2012-07-03,2023-10-16
44,2022-05-01,2023-01-27
7,2019-02-25,
44,2019-11-30,
29,2010-03-30,
44,2019-12-22,
47,2008-03-10,
73,2021-07-31,
6,2017-07-03,
45,2016-01-10,2023-04-20
54,2010-10-09,
56,2021-07-22,
77,2013-02-05,
18,2015-08-05,
10,2014-05-10,
75,2018-11-08,
87,2015-07-31,
30,2011-12-11,2022-12-25
91,2010-06-27,
21,2021-08-04,
49,2008-12-07,
56,2021-04-20,
99,2009-12-24,2023-04-14
24,2021-11-26,
57,2019-10-16,2023-05-29
13,2017-02-19,
34,2012-06-20,2023-04-25
70,2021-05-02,2023-03-26
31,2016-08-25,
43,2015-07-16,
99,2013-10-11,
44,2018-04-10,
68,2019-07-21,2023-09-08
11,2008-03-16,
95,2015-10-12,
7,2019-07-21,
42,2019-08-24,
68,2022-03-18,
29,2012-06-16,2023-10-27
66,2015-05-20,
1,2012-01-03,
1,2009-03-08,
79,2010-11-21,2023-01-30
18,2018-05-25,
42,2010-02-03,
85,2019-02-03,2023-10-18
10,2022-06-15,2023-02-23
8,2014-03-27,
73,2022-07-03,
41,2012-06-26,
8,2019-05-12,
19,2019-07-05,
55,2010-06-14,
9,2012-06-14,
61,2019-05-10,
30,2017-11-19,
64,2019-05-21,2023-05-30
16,2017-04-22,
63,2013-06-11,
69,2018-10-19,
85,2011-09-28,
61,2021-07-24,
91,2021-02-04,
87,2013-02-03,
80,2009-12-19,2023-04-29
18,2020-03-12,2023-03-22
23,2022-02-18,
57,2017-05-25,2023-09-21
17,2016-11-02,
38,2009-09-30,
2,2021-12-01,
5,2011-06-08,
51,2012-12-20,2023-04-15
56,2019-02-01,
10,2017-03-23,2023-03-12
