id_match ,id_player ,goals_scored,assists ,yellow_cards ,red_cards ,minutes_played 
1786,1873,,3,,,19
2030,1499,,,,,9
2208,1677,,2,,,16
2011,1602,4,2,,,77
2197,1904,,,,,58
2180,1460,,,,,28
2087,1785,,,,,2
1828,1594,1,,,,70
2151,1854,,,,,24
2035,1646,,1,,,51
1786,1877,,,,,14
1810,1690,,2,,,74
2158,1464,2,,,,4
1747,1665,4,1,,,4
1709,1670,4,3,,,73
1769,1504,,,,,51
1980,1970,1,,,,29
1886,1803,,,,,6
1884,1939,2,,,,16
1682,1654,3,3,,,26
1802,1721,1,1,,,76
1997,1821,,,,,72
1727,1850,,,,,10
1753,1746,,,,,86
2111,1654,3,3,,,31
2037,1508,4,,,,22
1926,1981,,,,,9
2049,1566,1,,,,69
1722,1522,,1,,,7
1820,1723,,,,,11
1722,1814,,,,,2
1876,1467,,3,,,45
2065,1934,,,,,87
2151,1762,,,,,47
2206,1812,,,,,63
1959,1628,,,,,0
2221,1877,,,,,35
1821,1727,,,,,32
1951,1806,,2,,,3
1767,1835,,1,,,7
2161,1834,,2,,,11
1659,1492,,,,,40
1797,1894,,,,,27
2135,1468,,,,,18
1908,1597,,,,,57
2222,1712,1,,,,83
1901,1881,,,,,66
1717,1909,1,3,1,,82
2222,1536,,1,,,63
2003,1578,,,,,4
2220,1896,,,,,30
2066,1561,,,,,39
2066,1466,,,,,84
2110,1587,,,,,12
2120,1729,4,,,,66
1866,1515,1,,,,31
1876,1525,,,,,9
1680,1886,,,,,17
2085,1932,,3,,,8
1985,1863,2,,,,78
2162,1583,,,,,84
1660,1972,,,,,76
2022,1957,,,,,34
2206,1532,,,,,45
1651,1976,,,,,58
1704,1715,,,,,44
1853,1841,1,,,,48
1652,1783,1,,,,24
2137,1724,,1,,,50
1978,1839,,,,,86
1980,1587,,3,,,33
2019,1748,1,2,,,53
2019,1652,2,3,,,23
2056,1653,,2,,,9
2192,1542,,,,,68
1784,1730,,,,,1
1967,1539,,,,,22
1947,1464,2,,,,44
1986,1899,,,,,54
2226,1893,,,,,46
1848,1711,,,,,86
1782,1619,,2,,,25
2162,1486,,,,,76
1940,1471,1,,,,52
1778,1651,,,,,33
1921,1554,,2,,,70
1809,1613,,2,,,78
1669,1845,,,,,23
1662,1591,,,,,75
1770,1643,,,,,9
2043,1690,,1,1,,0
1697,1565,,1,,,79
2218,1762,,1,,,26
1863,1637,4,,,,17
2214,1961,,,,,34
1864,1738,,,,,76
1877,1641,2,1,,,39
1902,1530,,2,,,37
2158,1913,,,,,23
2213,1925,3,,,,15
1684,1879,,1,,,62
1865,1829,,,,,77
2155,1614,,,,,25
1899,1545,3,,,,89
1688,1748,,,,,24
2199,1964,,1,,,67
1658,1936,2,,,,4
1828,1969,,,,,3
1914,1835,,,,,59
1833,1838,,,,,2
2073,1752,,3,,,83
1663,1958,,,,,54
2161,1579,,,,,5
1683,1934,,,,,56
1795,1779,,,,,5
1936,1761,,,,,51
1977,1655,,,,,63
2005,1810,,,,,77
2145,1781,,,,,1
1825,1778,,2,,,6
2080,1663,2,,,,45
2220,1792,,2,,,42
2224,1741,,3,,,78
1988,1620,,,,,32
1988,1891,,,1,,71
1968,1618,,1,,,81
1807,1915,2,,,,52
1986,1509,,,,,42
2160,1481,,,,,66
2091,1500,,,,,7
1949,1856,,,,,26
1761,1893,1,1,,1,1
1999,1815,,,,,27
1745,1973,,,,,66
1951,1982,1,1,,,26
1724,1615,,2,,,19
1728,1490,,,,,59
2094,1828,,,,,42
1999,1471,,,,1,55
2199,1714,,,,,69
2084,1573,,,,,19
2235,1600,,,,,38
1676,1940,1,,,,73
1880,1752,,,,,7
