id_match ,id_player ,goals_scored,assists ,yellow_cards ,red_cards ,minutes_played 
437,328,4,,,,80
262,387,,1,1,,52
295,556,3,3,,,81
289,527,,3,,,46
799,309,,,,,19
692,741,2,3,,,68
599,426,,,,,50
785,221,2,,,,35
188,109,,3,,,35
564,152,4,,,,33
9,346,4,1,,,6
622,137,,,,,43
374,188,,,,,29
141,261,3,,,,49
666,678,,,,,55
571,360,4,,,,90
547,150,,,,,72
481,723,2,,,,82
513,661,4,,,,47
666,768,,,,,85
34,360,,,,,42
537,467,2,,,,72
248,317,,1,,,65
9,56,,,,,6
664,633,,,,,79
570,62,,,,,66
766,595,,3,,,56
715,592,,3,,,52
506,695,,,,,30
148,381,4,1,,,54
191,790,,,,,37
228,608,,,,,84
241,109,,,,,80
592,490,,,,,22
479,115,,,,,33
588,94,,,,,82
769,120,1,3,,1,77
437,443,,,,,53
725,413,3,1,,,76
411,476,,3,,,65
631,658,2,,,,21
673,93,,,,,72
520,603,,1,,,57
425,51,1,,,,47
589,176,3,,,,56
393,318,2,3,,,17
396,696,,,,,5
55,446,,,,,33
208,273,,1,,,86
494,662,,,,,3
367,440,,1,,,38
511,379,,2,,,67
641,500,,,,,86
697,22,,2,,,2
217,229,,,,,18
375,426,,,,,33
416,427,,,,,89
595,339,,1,,,16
678,215,,2,,,7
207,507,2,2,,,5
572,98,,,,,89
681,548,1,,,,23
656,172,,,,,61
83,795,,,,,17
253,550,4,,,,71
43,771,,,,,58
150,85,,1,,,50
80,209,,,,,90
289,275,,,,,45
330,779,,,,,78
186,38,,,,,67
748,19,,,,,53
742,554,,,,,80
308,498,,,,,8
178,604,,,,,5
601,621,,,,,4
11,379,,,,,60
747,454,,,,,57
405,698,,,,,63
506,409,,,,,10
483,758,,,,,28
379,556,,,,,87
682,69,,,,,47
781,764,,,,,7
544,389,2,3,,,36
256,638,,,,,37
709,242,,1,,,48
116,120,,,,,30
462,448,,1,,,3
209,658,,,,,8
198,541,,1,,,67
24,508,,,,,87
380,521,,,,,5
682,597,1,2,,,22
491,761,,,,,63
638,615,,,,,47
242,610,4,,,,9
473,56,,,,,31
