    playing_number  ,start_date  ,end_date 
20,2015-05-28,
46,2012-10-06,
37,2013-10-06,
13,2018-05-16,
87,2018-02-19,
83,2010-06-15,2022-12-24
56,2012-07-09,
17,2022-07-06,2023-07-08
11,2020-03-10,
31,2019-04-30,
53,2014-02-28,
65,2021-05-03,2023-12-12
29,2012-11-18,
16,2022-05-21,
9,2017-01-20,
82,2012-01-22,2022-12-28
39,2018-02-08,
48,2018-04-27,2023-12-03
5,2020-07-25,2023-04-18
8,2011-02-06,
31,2010-09-24,
9,2017-10-27,2022-12-29
29,2010-04-13,2023-07-15
36,2020-07-14,
42,2018-10-17,
1,2012-04-08,
13,2015-02-13,2023-12-05
43,2020-01-07,
33,2008-02-27,
97,2011-08-23,
62,2015-12-16,
64,2011-06-19,
67,2013-08-16,
91,2013-07-03,2022-12-17
62,2019-10-15,2023-06-17
13,2012-12-06,
17,2012-05-22,
6,2017-10-31,
41,2016-02-16,
56,2016-08-13,
92,2012-12-19,
71,2013-12-13,
30,2017-04-15,
77,2017-01-23,2023-10-15
45,2015-02-13,2023-04-15
12,2014-12-09,2023-09-28
36,2020-10-08,
52,2010-10-14,
9,2022-01-13,2023-10-13
28,2020-06-22,
5,2012-05-14,2023-12-16
50,2019-08-03,
64,2021-08-27,
20,2009-12-01,
12,2021-08-15,2023-12-28
81,2015-02-14,
39,2011-05-05,
75,2011-04-07,
10,2014-09-21,
31,2011-01-27,
37,2014-08-04,
87,2011-10-27,
99,2021-12-21,
26,2017-03-08,
84,2012-04-21,
26,2013-04-21,
43,2022-03-08,
33,2013-06-13,
45,2015-05-12,2023-12-25
42,2018-03-30,2023-10-06
79,2022-04-23,2023-10-14
77,2017-04-14,2023-02-23
8,2015-07-06,2023-08-01
84,2015-04-24,
29,2008-09-01,2023-05-24
66,2015-07-12,
11,2011-01-30,
46,2020-11-15,
58,2017-09-24,2023-12-22
86,2012-11-05,
23,2017-06-09,
59,2016-12-25,
55,2014-04-01,
87,2010-11-25,
57,2021-12-05,
5,2015-03-22,
8,2009-02-09,
45,2012-11-05,
85,2016-01-18,2023-10-04
35,2015-09-15,
42,2022-02-25,2023-07-28
57,2010-02-13,
97,2013-11-27,
23,2018-10-05,
41,2011-05-01,
13,2015-01-10,
55,2019-09-23,
50,2021-01-05,
59,2020-10-05,
24,2013-08-23,2023-03-01
17,2021-04-24,
34,2010-01-26,
8,2009-12-04,
46,2019-05-27,
25,2009-12-03,
41,2008-05-18,
4,2011-03-31,
22,2018-03-19,
31,2010-10-03,2023-11-30
80,2018-03-29,
14,2008-01-23,2023-04-24
66,2009-11-18,2023-08-15
85,2018-05-26,
15,2008-08-30,2023-07-24
39,2008-04-22,
77,2021-06-12,2023-07-03
96,2019-10-24,
38,2010-05-16,
58,2015-04-04,
64,2022-04-20,
66,2022-02-13,2023-11-01
54,2021-02-18,
92,2021-03-21,
19,2022-04-21,
34,2015-08-18,
54,2017-02-02,
75,2017-07-21,
80,2020-09-23,2023-10-20
52,2015-05-24,
48,2018-09-28,
61,2011-11-18,
17,2019-07-19,
63,2016-12-30,
71,2013-12-12,
40,2010-08-15,
46,2020-10-03,
92,2013-02-20,2023-06-02
24,2018-12-09,2023-01-31
89,2015-07-13,2023-11-25
32,2020-04-27,2023-09-24
80,2021-10-27,2023-12-29
84,2011-09-25,
21,2019-04-27,
62,2018-01-31,
17,2008-01-11,2023-05-04
71,2011-01-24,
61,2013-09-01,
87,2013-10-02,
66,2010-10-29,
17,2018-11-17,
23,2019-08-27,
71,2014-12-26,
85,2014-10-12,
62,2012-06-18,
90,2016-06-02,
46,2016-06-23,
57,2018-05-14,
5,2020-02-17,
52,2017-09-20,
37,2017-01-05,
60,2013-11-10,2023-06-29
83,2013-01-15,
78,2014-02-28,2023-12-23
62,2010-02-23,
65,2018-08-19,2023-11-12
34,2009-08-26,
25,2011-03-22,
41,2021-04-29,
36,2013-04-04,
3,2018-05-25,
74,2013-02-09,
89,2012-02-19,2023-03-14
20,2021-05-05,
24,2018-09-10,
28,2018-05-15,
73,2008-09-04,2023-02-18
60,2015-01-17,
36,2008-09-30,2023-07-08
54,2015-03-02,2023-10-01
67,2016-08-20,2023-04-16
85,2021-09-26,
92,2022-04-29,
36,2011-07-02,
97,2015-02-27,2023-01-29
19,2015-10-13,
30,2014-01-07,
33,2020-03-17,
40,2019-08-09,
99,2018-01-22,
1,2012-03-12,
58,2020-08-13,
13,2013-08-12,
91,2012-11-03,
94,2010-08-23,2023-09-17
1,2010-09-16,
60,2018-01-10,
87,2011-09-06,
78,2013-09-26,
41,2011-06-23,
76,2015-07-19,2023-06-19
86,2015-12-10,
21,2010-12-29,
69,2020-05-17,2023-08-31
18,2021-03-11,
76,2018-08-29,
56,2016-10-02,
75,2013-03-04,2023-01-30
61,2012-06-13,
74,2015-06-22,
49,2017-06-05,
17,2021-01-02,
9,2021-10-12,
49,2015-01-08,2023-01-24
68,2009-06-04,
22,2011-04-04,2023-02-24
34,2020-12-23,
85,2009-06-09,
82,2022-03-23,
19,2019-06-15,2023-12-08
38,2022-01-19,2023-11-29
58,2013-06-27,
10,2020-06-27,
94,2011-02-15,
19,2014-01-30,2023-07-26
92,2011-11-09,
97,2018-10-06,2023-03-10
25,2019-12-11,
51,2018-02-10,2023-07-30
7,2010-05-27,
3,2021-04-05,2023-06-29
44,2009-05-28,
83,2018-07-21,2023-02-22
24,2022-07-17,
15,2021-09-20,
61,2010-01-22,
40,2015-08-25,
38,2020-05-21,
80,2010-06-08,
39,2009-09-26,
24,2015-06-12,
86,2020-11-15,2023-03-25
40,2010-10-23,
91,2015-04-18,
39,2015-10-23,2023-06-02
67,2014-12-21,
14,2010-12-04,2023-09-10
63,2015-12-13,2023-12-05
48,2018-11-18,
51,2015-11-17,
72,2016-05-01,2023-06-25
66,2010-02-14,
24,2013-10-12,
27,2019-02-21,
2,2013-10-26,
90,2010-04-24,
50,2021-08-08,
60,2019-08-12,
17,2015-08-10,
52,2008-10-09,2023-03-18
46,2018-11-03,2023-08-15
94,2017-10-03,
67,2014-04-27,
23,2020-09-13,
17,2016-11-22,
6,2008-01-30,
99,2011-12-09,
84,2021-04-17,
82,2021-09-15,
94,2019-02-11,
25,2020-10-22,
84,2016-04-22,
89,2016-03-03,2023-08-21
32,2017-09-25,2023-09-03
75,2019-01-23,
46,2017-02-17,
59,2017-01-12,
56,2010-09-01,
53,2019-11-13,2023-09-18
77,2013-10-18,
51,2018-12-31,
40,2013-09-11,
63,2016-12-02,
85,2016-12-19,2023-07-31
43,2010-11-08,
30,2009-07-02,
94,2013-06-03,
37,2011-07-26,
99,2017-01-03,
53,2014-12-02,2023-06-03
19,2022-03-25,
47,2018-03-04,
59,2010-09-18,2023-12-18
13,2009-11-02,2023-07-11
6,2015-07-04,2023-01-15
42,2016-12-20,
95,2019-09-26,2023-03-15
26,2019-04-09,2023-07-15
9,2008-08-26,
27,2016-07-20,
82,2010-09-18,2023-10-13
13,2008-07-15,
17,2015-01-31,
1,2012-06-30,
65,2016-04-10,
28,2015-11-29,
62,2015-05-18,
33,2013-09-08,
21,2013-06-13,
43,2012-05-21,2023-01-18
22,2009-07-21,
20,2014-08-28,2023-08-08
54,2015-11-02,
91,2021-01-06,
5,2016-10-04,
22,2020-11-28,
64,2021-11-13,
53,2020-09-05,
46,2012-02-16,2023-04-24
74,2015-08-28,
69,2014-11-17,
54,2010-07-29,
78,2011-01-19,2023-10-10
72,2015-01-29,
16,2014-05-17,
23,2020-08-22,2023-01-18
58,2016-01-09,
18,2019-05-25,
65,2013-04-18,
51,2015-10-21,2023-05-04
53,2012-01-26,
24,2019-05-04,
61,2021-07-04,
82,2022-03-04,
42,2008-01-07,
19,2011-12-08,2023-09-03
43,2019-01-31,
32,2020-09-13,
3,2009-06-29,2023-06-26
32,2008-08-08,
76,2008-10-25,2023-08-16
45,2012-07-10,
77,2012-01-27,2023-03-19
63,2008-04-09,
58,2013-01-20,2023-07-19
86,2020-11-20,
91,2014-01-31,
37,2014-02-10,
32,2017-07-20,
98,2019-01-22,
9,2021-07-17,
83,2016-04-13,
85,2017-01-14,
8,2010-04-15,
22,2010-11-05,
60,2008-10-17,
69,2018-12-31,
4,2022-08-04,
38,2009-02-07,
25,2015-02-24,
18,2015-03-10,
79,2011-08-23,
33,2016-12-25,
91,2021-04-24,
77,2020-04-02,2023-01-14
75,2014-02-24,2023-10-20
5,2010-01-04,
71,2012-01-25,
73,2016-05-01,
19,2014-11-26,
97,2010-04-10,2023-06-29
98,2022-05-03,2023-03-28
97,2014-03-14,
14,2021-06-27,
57,2012-08-03,
37,2013-03-19,
29,2019-09-24,
23,2009-08-11,
44,2020-04-05,2023-11-03
90,2010-10-01,
53,2015-07-05,
37,2008-10-22,
68,2014-08-15,
13,2015-10-09,
57,2022-08-04,
11,2009-05-07,2023-07-31
34,2010-10-19,
43,2008-08-30,
67,2015-12-10,
6,2010-11-19,
37,2015-12-07,
10,2011-07-01,
59,2021-12-09,2023-07-15
55,2014-08-22,2022-12-20
23,2015-05-10,2023-03-05
33,2018-11-19,2023-12-15
46,2008-03-02,
98,2014-05-24,2023-07-13
71,2009-02-09,
72,2021-01-10,
23,2012-05-11,2023-02-04
57,2015-11-20,
33,2019-08-21,
42,2019-08-15,2023-03-30
73,2012-07-14,
57,2018-01-21,2023-09-30
24,2009-05-25,
61,2009-06-03,
46,2013-05-07,
4,2013-10-13,
30,2019-09-26,
36,2020-05-25,
49,2012-02-10,2023-07-24
82,2018-03-03,2023-12-02
64,2014-08-27,2023-11-07
47,2009-03-26,
93,2013-08-29,2023-09-16
28,2017-08-16,
1,2008-09-20,
83,2019-09-02,2023-07-11
96,2020-03-04,
92,2013-08-04,
18,2018-08-10,
74,2022-06-20,
48,2012-11-30,2023-01-04
36,2022-04-23,2023-10-19
70,2018-04-06,
91,2011-04-01,
4,2011-04-04,
22,2020-09-04,
79,2015-12-17,2023-12-05
44,2020-04-28,
45,2008-05-29,
79,2017-01-02,2023-09-18
2,2008-11-03,
59,2012-08-31,
93,2008-11-08,2023-07-02
27,2008-04-24,
89,2014-06-19,
50,2017-06-30,
60,2017-03-17,
62,2018-04-20,
2,2011-08-18,
95,2008-06-06,2023-11-13
51,2022-06-14,2022-12-19
61,2020-01-18,
34,2020-05-19,
58,2009-10-20,
4,2015-05-22,
70,2017-03-24,2023-11-08
11,2010-07-30,
88,2012-03-30,
56,2014-02-24,
12,2010-05-23,2023-02-08
3,2016-09-15,2023-03-23
36,2009-05-31,
51,2009-10-08,
67,2011-11-08,2023-06-16
34,2015-04-01,
14,2015-05-15,2023-10-22
76,2015-02-06,
64,2008-01-19,
73,2011-11-27,
27,2018-07-31,2023-08-12
86,2020-09-12,2023-05-04
41,2009-11-27,
38,2013-09-12,2023-08-03
84,2018-06-26,2023-09-12
6,2010-05-07,
43,2013-12-28,
84,2021-08-01,
41,2018-04-11,
78,2012-07-17,
62,2013-09-06,
76,2019-04-30,2023-11-18
31,2019-09-02,2023-09-12
56,2009-07-29,
49,2008-06-21,2022-12-30
23,2015-11-07,
42,2012-10-27,2023-09-24
28,2011-09-07,
5,2019-08-03,
6,2018-12-28,
42,2018-01-29,
31,2018-10-16,
17,2011-03-31,
11,2010-10-16,
44,2016-05-29,2022-12-19
88,2020-08-20,
32,2010-07-12,
86,2022-05-05,
96,2017-08-05,
63,2015-06-02,
24,2017-04-27,
13,2008-05-05,
31,2010-08-08,2023-12-30
61,2016-01-04,
99,2021-12-16,
93,2015-02-09,
90,2021-02-04,
28,2017-09-05,
42,2016-03-29,
36,2016-08-15,
26,2012-04-01,
92,2008-05-13,2023-12-27
41,2009-07-07,2023-07-07
31,2021-04-01,
43,2022-07-13,
74,2011-10-17,2023-05-28
35,2008-08-24,
95,2011-12-08,
24,2010-03-23,
22,2015-07-22,
35,2018-01-03,2023-06-09
67,2013-07-25,
3,2012-11-07,
89,2016-09-14,
43,2021-10-20,
10,2019-11-10,2023-05-13
85,2019-07-03,
27,2008-09-14,2023-01-18
66,2020-04-23,
30,2021-03-07,2023-08-10
22,2010-05-29,
80,2012-12-10,
11,2009-08-22,
18,2017-04-26,
27,2022-04-10,
29,2012-07-11,
13,2017-07-26,
60,2012-01-21,
37,2010-06-02,
73,2012-01-07,
95,2021-05-27,2023-02-04
5,2018-09-03,
49,2021-03-09,2023-08-05
47,2008-12-19,2023-04-25
60,2020-12-03,
59,2020-05-17,2023-05-08
42,2013-03-20,
75,2016-10-19,
94,2021-06-12,
27,2020-01-01,
53,2020-08-11,
55,2014-04-18,
77,2014-12-12,
10,2008-01-01,
48,2017-10-16,
86,2021-10-28,2023-02-17
19,2014-12-07,
64,2019-06-12,
98,2017-12-13,
40,2014-04-06,
92,2015-06-20,2023-01-17
94,2019-11-01,
2,2011-09-21,
62,2013-12-20,2022-12-14
21,2017-06-10,
10,2019-03-26,
13,2015-10-14,
6,2018-04-22,
17,2014-12-08,
60,2010-01-20,
86,2018-10-02,
61,2013-01-26,
96,2014-05-01,2023-08-05
98,2012-08-25,
2,2016-02-04,
92,2019-03-07,2023-03-04
69,2009-10-24,
3,2008-05-12,
17,2021-06-03,
78,2010-04-25,
55,2018-02-27,2023-06-14
75,2018-02-24,
79,2018-10-16,
87,2020-07-06,
17,2022-06-22,
98,2021-03-24,
64,2017-08-07,
64,2013-08-20,
3,2012-12-17,
92,2012-12-06,
73,2017-01-05,
91,2009-04-09,
3,2016-12-21,2023-03-30
44,2017-11-21,
55,2012-01-21,2023-12-11
99,2011-10-18,
4,2015-08-29,
10,2019-09-13,
21,2019-11-09,
80,2016-07-13,
66,2022-04-12,
36,2012-06-06,
53,2012-11-17,
39,2011-09-05,
59,2021-09-06,
71,2018-10-30,
14,2019-03-31,
57,2012-04-03,2023-09-25
80,2021-03-10,
88,2009-07-18,
3,2021-04-30,2023-07-26
18,2016-06-06,
40,2010-12-27,
87,2014-11-07,2023-01-07
75,2016-01-13,
18,2015-10-15,
78,2009-04-26,2023-07-04
3,2012-07-20,
76,2009-07-16,
81,2014-10-04,
60,2018-05-27,
67,2021-01-09,
78,2022-06-23,
76,2020-07-24,
81,2019-02-21,2023-02-11
43,2008-03-19,
35,2020-12-19,
60,2008-06-25,
11,2020-09-17,
60,2010-02-03,
17,2021-02-15,2023-07-24
58,2014-08-26,
20,2014-05-02,
49,2015-04-10,
28,2009-05-09,
84,2022-06-27,
94,2018-07-28,
37,2015-01-14,
38,2011-10-08,
96,2011-02-20,
11,2013-05-06,
10,2013-08-08,
27,2018-06-05,
44,2021-02-21,2023-10-23
19,2018-12-03,
12,2018-09-03,
95,2020-06-06,
27,2017-12-05,
82,2013-03-07,2023-05-25
63,2020-04-06,
86,2020-03-17,
35,2008-03-30,
68,2011-09-12,
22,2010-06-13,
68,2011-12-19,
3,2016-01-19,2023-01-07
9,2020-10-25,
79,2016-10-20,2023-02-13
31,2021-01-22,
94,2015-09-19,
90,2014-04-15,
85,2017-04-16,
2,2017-02-05,2023-07-30
85,2018-08-18,
90,2019-12-11,
41,2022-01-17,
19,2012-04-11,
23,2016-04-23,2023-03-22
78,2013-02-09,
45,2018-02-02,2023-07-18
1,2008-12-31,2023-07-03
30,2017-04-16,
77,2013-07-06,2023-01-01
39,2020-01-12,
76,2010-06-16,
16,2017-03-02,
25,2009-02-20,
90,2011-03-06,
97,2008-02-20,2023-12-16
24,2017-01-06,2023-06-27
46,2022-07-22,
34,2014-11-05,
74,2013-05-19,2023-09-30
36,2017-09-21,
69,2009-03-11,
93,2011-06-22,2023-11-12
18,2019-04-02,2023-09-19
74,2013-06-18,
50,2022-05-15,
47,2014-03-22,
86,2015-08-20,
84,2014-07-28,
45,2009-10-02,
89,2014-07-29,2023-04-26
32,2010-01-10,
61,2010-10-15,2023-12-15
64,2012-02-11,2023-06-16
16,2010-11-23,
3,2017-09-11,
89,2008-07-06,
53,2013-09-06,
6,2009-04-09,2023-01-14
80,2013-07-29,
62,2010-05-31,
52,2015-10-24,
55,2019-11-14,
67,2008-10-29,
36,2017-04-30,2023-06-07
24,2019-10-02,
22,2020-07-26,
68,2012-12-08,
96,2011-05-30,
80,2020-06-08,
37,2012-06-20,2022-12-25
50,2010-02-26,
10,2021-10-13,
19,2013-04-02,
98,2009-08-13,
37,2019-07-25,
47,2011-06-30,
56,2017-01-04,
16,2013-07-21,
44,2016-06-13,
29,2021-06-22,
46,2012-04-28,2023-01-20
60,2014-02-12,
15,2022-04-18,2023-11-08
39,2017-02-12,
45,2009-11-11,2023-05-29
7,2013-02-20,
41,2013-08-14,
76,2015-05-05,
3,2018-12-22,
97,2015-06-17,2023-11-11
9,2020-12-26,2023-04-16
91,2013-01-12,
37,2016-01-19,
64,2022-04-24,
49,2013-06-24,
34,2020-06-27,
20,2012-04-11,
15,2015-10-25,
12,2020-03-18,
87,2013-10-06,
96,2015-09-25,
3,2012-12-07,2023-04-14
24,2017-08-06,2023-11-28
73,2014-12-12,
89,2009-01-30,
44,2016-05-28,
19,2015-03-30,2023-12-19
80,2018-06-03,
22,2021-09-28,
97,2022-07-26,
51,2020-01-16,
34,2019-05-24,
84,2012-12-14,2023-01-20
79,2018-08-21,2023-11-07
42,2010-11-03,
64,2012-09-16,
18,2022-08-04,
99,2008-05-09,
76,2022-01-28,
93,2011-04-07,
75,2021-03-09,
12,2017-04-04,2023-10-07
96,2010-01-20,
7,2014-08-08,
5,2016-02-03,
88,2008-03-24,
63,2016-03-29,2023-01-17
41,2022-05-09,
18,2008-02-04,
46,2009-12-16,
20,2008-08-18,
11,2008-04-18,
10,2020-10-20,2023-01-25
16,2017-04-29,2023-03-02
91,2011-01-15,
74,2011-11-11,
58,2015-08-01,2023-11-26
45,2021-09-22,
80,2008-11-24,
